Material;Database;Category;CF RMI agriculture;Unit
alfalfa-grass mixture, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;0,42;kg primary material/kg material
alfalfa-grass silage;ecoinvent3.8;intermediate exchanges/allocatable product;0,22;kg primary material/kg material
almond;ecoinvent3.8;intermediate exchanges/allocatable product;2,6;kg primary material/kg material
apple;ecoinvent3.8;intermediate exchanges/allocatable product;0,44;kg primary material/kg material
apricot;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
aubergine;ecoinvent3.8;intermediate exchanges/allocatable product;0,21;kg primary material/kg material
avocado;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
banana;ecoinvent3.8;intermediate exchanges/allocatable product;0,44;kg primary material/kg material
barley grain;ecoinvent3.8;intermediate exchanges/allocatable product;1,09;kg primary material/kg material
barley grain, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,09;kg primary material/kg material
barley grain, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;1,11;kg primary material/kg material
bell pepper;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
broccoli;ecoinvent3.8;intermediate exchanges/allocatable product;0,21;kg primary material/kg material
carrot;ecoinvent3.8;intermediate exchanges/allocatable product;0,37;kg primary material/kg material
cashew;ecoinvent3.8;intermediate exchanges/allocatable product;2,03;kg primary material/kg material
castor bean;ecoinvent3.8;intermediate exchanges/allocatable product;1,2;kg primary material/kg material
cauliflower;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
celery;ecoinvent3.8;intermediate exchanges/allocatable product;0,19;kg primary material/kg material
chickpea;ecoinvent3.8;intermediate exchanges/allocatable product;0,95;kg primary material/kg material
chilli;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
cocoa bean;ecoinvent3.8;intermediate exchanges/allocatable product;0,95;kg primary material/kg material
coconut, dehusked;ecoinvent3.8;intermediate exchanges/allocatable product;0,22;kg primary material/kg material
coffee, green bean;ecoinvent3.8;intermediate exchanges/allocatable product;1,76;kg primary material/kg material
coriander;ecoinvent3.8;intermediate exchanges/allocatable product;1,24;kg primary material/kg material
fava bean, feed, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;2,09;kg primary material/kg material
fava bean, organic;ecoinvent3.8;intermediate exchanges/allocatable product;2,09;kg primary material/kg material
fava bean, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;2,09;kg primary material/kg material
fennel;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
fibre, cotton;ecoinvent3.8;intermediate exchanges/allocatable product;1,12;kg primary material/kg material
fibre, cotton, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,12;kg primary material/kg material
flax plant, harvested;ecoinvent3.8;intermediate exchanges/allocatable product;1,12;kg primary material/kg material
fodder beet, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;0,19;kg primary material/kg material
grape;ecoinvent3.8;intermediate exchanges/allocatable product;0,44;kg primary material/kg material
grass silage, organic;ecoinvent3.8;intermediate exchanges/allocatable product;0,17;kg primary material/kg material
