Material;Database;Category;CF TMR non-metallic minerals;Unit
Anhydrite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,1;kg primary material/kg material
Basalt;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,01;kg primary material/kg material
Borax;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,1;kg primary material/kg material
Calcite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Calcium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Chrysotile;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Clay, bentonite;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,3;kg primary material/kg material
Clay, unspecified;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,3;kg primary material/kg material
Diatomite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,1;kg primary material/kg material
Dolomite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,01;kg primary material/kg material
Fluorine;ecoinvent3.8;elementary exchanges/natural resource/in ground;67;kg primary material/kg material
Feldspar;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,1;kg primary material/kg material
Fluorspar;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,4;kg primary material/kg material
Granite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,01;kg primary material/kg material
Gravel;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,01;kg primary material/kg material
Gypsum;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,04;kg primary material/kg material
Kaolinite;ecoinvent3.8;elementary exchanges/natural resource/in ground;6,3;kg primary material/kg material
Kieserite;ecoinvent3.8;elementary exchanges/natural resource/in ground;4;kg primary material/kg material
Laterite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Graphite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Olivine;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Perlite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Phosphorus;ecoinvent3.8;elementary exchanges/natural resource/in ground;75;kg primary material/kg material
Potassium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Pumice;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Pyrite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sand, unspecified;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Shale;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Silicon;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sodium chloride;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sodium nitrate;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sodium sulphate, various forms;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sodium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sulfur;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Sylvite;ecoinvent3.8;elementary exchanges/natural resource/in ground;4;kg primary material/kg material
Talc;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,1;kg primary material/kg material
Ulexite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Vermiculite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
