Material;Database;Category;CF RMI metal ores;Unit
Aluminium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;5,30;kg raw material/kg material
Antimony, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,56;kg raw material/kg material
Arsenic, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Barium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6,70;kg raw material/kg material
Beryllium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Cadmium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;735,00;kg raw material/kg material
Cerium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;42,00;kg raw material/kg material
Chromium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,70;kg raw material/kg material
Cobalt, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;115,00;kg raw material/kg material
Copper, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;143,00;kg raw material/kg material
Dysprosium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Europium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;16667,00;kg raw material/kg material
Gadolinium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6667,00;kg raw material/kg material
Gallium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7143,00;kg raw material/kg material
Gold, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;943610,00;kg raw material/kg material
Gold;ecoinvent3.8;elementary exchanges/natural resource/in ground;943610,00;kg raw material/kg material
Hafnium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Iron, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,70;kg raw material/kg material
Lanthanum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;139,00;kg raw material/kg material
Lead, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;12,00;kg raw material/kg material
Lithium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;667,00;kg raw material/kg material
Magnesite, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,70;kg raw material/kg material
Magnesium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7,80;kg raw material/kg material
Manganese, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,80;kg raw material/kg material
Mercury, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Molybdenum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;981,00;kg raw material/kg material
Neodymium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;250,00;kg raw material/kg material
Nickel, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;63,00;kg raw material/kg material
Niobium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Palladium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;66063,00;kg raw material/kg material
Platinum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;274186,00;kg raw material/kg material
Praseodymium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2381,00;kg raw material/kg material
Pyrite, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Rhenium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Rhodium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;520571,00;kg raw material/kg material
Samarium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;3330,00;kg raw material/kg material
Scandium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Selenium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Silicon, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Silver, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;10516,00;kg raw material/kg material
Spodumene, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Strontium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Tantalum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6105,00;kg raw material/kg material
Tellurium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Terbium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Tin, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;415,00;kg raw material/kg material
Titanium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;98,00;kg raw material/kg material
Tungsten, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Uranium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1000,00;kg raw material/kg material
Vanadium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Yttrium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg raw material/kg material
Zinc, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;13,00;kg raw material/kg material
Zirconium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;53,00;kg raw material/kg material
