Material;Database;Category;CF TMR metal ores;Unit
Aluminium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;11;kg primary material/kg material
Antimony, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,56;kg primary material/kg material
Arsenic, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Barium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;11;kg primary material/kg material
Beryllium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Cadmium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;735;kg primary material/kg material
Cerium;ecoinvent3.8;elementary exchanges/natural resource/in ground;42;kg primary material/kg material
Chromium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;5,9;kg primary material/kg material
Cobalt, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;115;kg primary material/kg material
Copper, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;157;kg primary material/kg material
Dysprosium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Europium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;16667;kg primary material/kg material
Gadolinium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6667;kg primary material/kg material
Gallium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7143;kg primary material/kg material
Gold;ecoinvent3.8;elementary exchanges/natural resource/in ground;2906319;kg primary material/kg material
Hafnium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Iron, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;5,1;kg primary material/kg material
Lanthanum;ecoinvent3.8;elementary exchanges/natural resource/in ground;139;kg primary material/kg material
Lead, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;15;kg primary material/kg material
Lithium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;667;kg primary material/kg material
Magnesite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,7;kg primary material/kg material
Magnesium;ecoinvent3.8;elementary exchanges/natural resource/in ground;7,8;kg primary material/kg material
Manganese, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7,1;kg primary material/kg material
Mercury, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Molybdenum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1854;kg primary material/kg material
Neodymium;ecoinvent3.8;elementary exchanges/natural resource/in ground;250;kg primary material/kg material
Nickel, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;101;kg primary material/kg material
Niobium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Palladium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;107683;kg primary material/kg material
Platinum;ecoinvent3.8;elementary exchanges/natural resource/in ground;445826;kg primary material/kg material
Praseodymium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2381;kg primary material/kg material
Pyrite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Rhenium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Rhodium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;572628;kg primary material/kg material
Samarium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;3333;kg primary material/kg material
Scandium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Selenium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Silicon, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Silver, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;17954;kg primary material/kg material
Spodumene;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Strontium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Tantalum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6105;kg primary material/kg material
Tellurium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Terbium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Tin, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;502;kg primary material/kg material
Titanium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;98;kg primary material/kg material
Tungsten;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Uranium;ecoinvent3.8;elementary exchanges/natural resource/in ground;17000;kg primary material/kg material
Vanadium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Yttrium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg primary material/kg material
Zinc, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;16;kg primary material/kg material
Zirconium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;53;kg primary material/kg material
