Material;Database;Category;CF TMR metal ores;Unit
Aluminium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;11,00;kg primary material/kg material
Antimony, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,56;kg primary material/kg material
Arsenic, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Barium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;11,00;kg primary material/kg material
Beryllium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Cadmium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;735,00;kg primary material/kg material
Cerium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;42,00;kg primary material/kg material
Chromium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;5,90;kg primary material/kg material
Cobalt, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;115,00;kg primary material/kg material
Copper, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;157,00;kg primary material/kg material
Dysprosium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Europium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;16667,00;kg primary material/kg material
Gadolinium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6667,00;kg primary material/kg material
Gallium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7143,00;kg primary material/kg material
Gold, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2906319,00;kg primary material/kg material
Hafnium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Iron, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;5,10;kg primary material/kg material
Lanthanum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;139,00;kg primary material/kg material
Lead, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;15,00;kg primary material/kg material
Lithium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;667,00;kg primary material/kg material
Magnesite, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,70;kg primary material/kg material
Magnesium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7,80;kg primary material/kg material
Manganese, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;7,10;kg primary material/kg material
Mercury, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Molybdenum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1854,00;kg primary material/kg material
Neodymium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;250,00;kg primary material/kg material
Nickel, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;101,00;kg primary material/kg material
Niobium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Palladium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;107683,00;kg primary material/kg material
Platinum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;445826,00;kg primary material/kg material
Praseodymium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;2381,00;kg primary material/kg material
Pyrite, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Rhenium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Rhodium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;572628,00;kg primary material/kg material
Samarium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;3333,00;kg primary material/kg material
Scandium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Selenium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Silicon, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Silver, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;17954,00;kg primary material/kg material
Spodumene, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Strontium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Tantalum, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;6105,00;kg primary material/kg material
Tellurium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Thallium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Tin, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;502,00;kg primary material/kg material
Titanium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;98,00;kg primary material/kg material
Tungsten, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Uranium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;17000,00;kg primary material/kg material
Vanadium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Yttrium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,00;kg primary material/kg material
Zinc, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;16,00;kg primary material/kg material
Zirconium, in ground;ecoinvent3.8;elementary exchanges/natural resource/in ground;53,00;kg primary material/kg material
